"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.244031354E0,9.930545092E-1,8.541035652E0,-2.485658646E0,8.950639428E0
1.249032812E0,1.017009497E0,8.529058456E0,-2.224549294E0,8.872866844E0
1.254069375E0,9.858679771E-1,8.588945389E0,-1.953857780E0,8.863378520E0
1.259105937E0,9.714950323E-1,8.588945389E0,-1.733471751E0,8.815821561E0
1.264142500E0,1.062524080E0,8.531453133E0,-1.551413774E0,8.736219702E0
1.269179062E0,1.153553009E0,8.481147766E0,-1.479548812E0,8.686173879E0
1.274215573E0,1.311655998E0,8.505103111E0,-1.594532728E0,8.752128599E0
1.279280208E0,1.429035544E0,8.564990044E0,-1.834082723E0,8.874967970E0
1.284316771E0,1.560788035E0,8.615296364E0,-2.119147301E0,9.008339248E0
1.289353333E0,1.773987532E0,8.653623581E0,-2.267668247E0,9.120008340E0
1.294389896E0,1.994373560E0,8.737466812E0,-2.234131336E0,9.236460091E0
1.299426458E0,2.047074556E0,8.900360107E0,-2.219758272E0,9.398630276E0
1.304463021E0,2.011142015E0,9.029717445E0,-2.183825731E0,9.505239827E0
1.309545521E0,1.924903989E0,9.147096634E0,-1.987394810E0,9.556378515E0
1.314582083E0,1.726077557E0,9.336340904E0,-1.637651801E0,9.634755245E0
1.319618646E0,1.366752505E0,9.436952591E0,-1.189693213E0,9.609342150E0
1.324655208E0,9.930545092E-1,9.551936150E0,-7.153842449E-1,9.630026795E0
1.329691719E0,6.552889943E-1,9.717226028E0,-2.865897417E-1,9.743511638E0
1.334728333E0,4.804175198E-1,9.884910583E0,3.440725803E-2,9.896637919E0
1.339727396E0,4.037615359E-1,9.961566925E0,2.332337648E-1,9.972473964E0
1.344763958E0,3.965750337E-1,1.005020046E1,3.554042578E-1,1.006429895E1
1.349800521E0,4.229255319E-1,1.003582764E1,3.074942231E-1,1.004944053E1
1.354837083E0,4.828130305E-1,1.000229073E1,1.589732617E-1,1.001519848E1
1.359873594E0,6.097745299E-1,1.002145386E1,5.661263596E-3,1.003998976E1
1.364910156E0,8.732795119E-1,1.001426792E1,-8.297224343E-2,1.005261476E1
1.369943021E0,1.122411489E0,1.015320683E1,1.524326112E-2,1.021506969E1
1.374979583E0,1.064919591E0,1.041192055E1,2.164652497E-1,1.046847651E1
1.380016146E0,8.109965324E-1,1.056523323E1,4.871567488E-1,1.060750632E1
1.385052708E0,5.522825122E-1,1.057002354E1,6.907742620E-1,1.060695916E1
1.390089219E0,2.791955173E-1,1.048378563E1,8.321087360E-1,1.052046179E1
1.395125781E0,3.964552656E-2,1.034963799E1,9.135557413E-1,1.038995487E1
1.400131042E0,-1.376214772E-1,1.022267628E1,8.201311827E-1,1.025644505E1
1.405167656E0,-3.005154729E-1,1.013404274E1,6.883787513E-1,1.016184024E1
1.410204167E0,-4.250814617E-1,1.011008739E1,5.302757621E-1,1.013290451E1
1.415240729E0,-5.017374754E-1,1.000708103E1,2.260472625E-1,1.002220079E1
1.420277292E0,-4.466409385E-1,9.872933388E0,-4.943524301E-2,9.883154641E0
1.425313854E0,-2.981199622E-1,9.815441132E0,-1.716057509E-1,9.821466726E0
1.430404792E0,-1.807404906E-1,9.899283409E0,-2.099337429E-1,9.903158653E0
1.435441354E0,-2.382324785E-1,9.925634384E0,-2.314932495E-1,9.931191357E0
1.440477917E0,-3.148884773E-1,9.801068306E0,-3.321042359E-1,9.811747445E0
1.445514479E0,-3.915444911E-1,9.678897858E0,-3.680367470E-1,9.693803272E0
1.450550989E0,-4.418499768E-1,9.554331779E0,-2.554482520E-1,9.567953855E0
1.455587604E0,-4.274769723E-1,9.496839523E0,5.661263596E-3,9.506457255E0
1.460583698E0,-3.699849546E-1,9.547144890E0,5.087162256E-1,9.567844930E0
1.465620312E0,-4.346634448E-1,9.659733772E0,1.114777684E0,9.733556295E0
1.470656823E0,-6.023485065E-1,9.784299850E0,1.641787767E0,9.939356838E0
1.475693437E0,-7.436829805E-1,9.774717331E0,1.907688141E0,9.986863237E0
1.480729948E0,-7.580559850E-1,9.693270683E0,2.142447233E0,9.956114983E0
1.485766510E0,-6.885864735E-1,9.674106598E0,2.250244856E0,9.956208702E0
1.490822344E0,-6.454675198E-1,9.748367310E0,2.434698343E0,1.006851774E1
1.495858906E0,-6.909819841E-1,9.865746498E0,2.638315678E0,1.023577646E1
1.500895469E0,-7.820109725E-1,9.868142128E0,2.676643848E0,1.025456935E1
1.505932031E0,-8.107569814E-1,9.789091110E0,2.544891357E0,1.014692582E1
1.510968594E0,-7.293099761E-1,9.623801231E0,2.290968180E0,9.919575514E0
1.516005156E0,-6.430720091E-1,9.444138527E0,2.001112700E0,9.675212978E0
1.521043750E0,-6.023485065E-1,9.276453972E0,1.617832780E0,9.435719629E0
1.526080312E0,-5.328789949E-1,9.190216064E0,1.167478800E0,9.279387808E0
1.531116875E0,-3.388434649E-1,9.096791267E0,8.512727022E-1,9.142816386E0
1.536153385E0,-1.495989710E-1,9.058463097E0,7.602437139E-1,9.091540245E0
1.541189948E0,-1.545098051E-2,9.036903381E0,7.770122290E-1,9.070259614E0
1.546226562E0,1.019285247E-1,9.068045616E0,9.375107288E-1,9.116949440E0
1.551263177E0,5.641402304E-2,9.149492264E0,1.349536777E0,9.248656159E0
1.556299739E0,-1.831359714E-1,9.269267082E0,1.835823298E0,9.451089789E0
1.561336302E0,-4.442454875E-1,9.341132164E0,2.310132265E0,9.632798931E0
1.566372864E0,-8.299210072E-1,9.314782143E0,2.870679140E0,9.782368525E0
1.571409375E0,-1.306625485E0,9.269267082E0,3.361756802E0,9.946255134E0
1.576445989E0,-1.675532460E0,9.218961716E0,3.768991709E0,1.009960210E1
1.581486927E0,-1.962992549E0,9.156679153E0,4.073220253E0,1.021221015E1
1.586523489E0,-2.133072853E0,9.087209702E0,4.355889320E0,1.030054133E1
1.591560052E0,-2.157027960E0,9.017739296E0,4.676886082E0,1.038487627E1
1.596596562E0,-2.200146914E0,9.120746613E0,4.926018238E0,1.059690148E1
1.601633125E0,-2.307944298E0,9.257289886E0,5.093703270E0,1.081525940E1
1.606669739E0,-2.358249903E0,9.446534157E0,5.318880081E0,1.109454080E1
1.611757917E0,-2.394182444E0,9.640569687E0,5.630295277E0,1.141809609E1
1.616794479E0,-2.437301397E0,9.793881416E0,5.872240543E0,1.167663309E1
1.621831042E0,-2.456465483E0,9.844187737E0,6.071067333E0,1.182370980E1
1.626867604E0,-2.490002394E0,9.841792107E0,6.083044529E0,1.183488126E1
1.631904114E0,-2.513957262E0,9.724411964E0,5.982433796E0,1.169075204E1
1.636940729E0,-2.607381821E0,9.621405602E0,5.769234180E0,1.151754960E1
1.641924479E0,-2.767880440E0,9.506422043E0,5.419491291E0,1.128734282E1
