"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.314652708E0,2.049350291E-1,7.054757327E-2,9.894286156E0,9.896659732E0
1.319689739E0,2.240990251E-1,6.575655192E-2,9.889494896E0,9.892252200E0
1.324726823E0,2.217035294E-1,8.252506703E-2,9.870330811E0,9.873165306E0
1.329763854E0,1.929575205E-1,6.096558645E-2,9.915844917E0,9.917909549E0
1.334804791E0,2.097260207E-1,5.857007578E-2,9.913449287E0,9.915840470E0
1.339841875E0,2.576360404E-1,7.054757327E-2,9.920636177E0,9.924231731E0
1.344878958E0,2.312855273E-1,5.857007578E-2,9.901472092E0,9.904346169E0
1.349915937E0,2.145170271E-1,5.617456511E-2,9.915844917E0,9.918324131E0
1.354953020E0,1.905620247E-1,7.533853501E-2,9.855957985E0,9.858087927E0
1.359990104E0,1.905620247E-1,5.377905443E-2,9.903867722E0,9.905846855E0
1.365027604E0,2.145170271E-1,5.377905443E-2,9.925427437E0,9.927890992E0
1.370064687E0,2.312855273E-1,9.210705012E-2,9.915844917E0,9.918969560E0
1.375101718E0,2.193080187E-1,5.857007578E-2,9.884703636E0,9.887309666E0
1.380138802E0,1.881665289E-1,6.336104125E-2,9.887099266E0,9.889092636E0
1.385175833E0,1.761890203E-1,1.064800546E-1,9.901472092E0,9.903611975E0
1.390212864E0,2.073305249E-1,1.064800546E-1,9.875122070E0,9.877872233E0
1.395268593E0,1.929575205E-1,8.252506703E-2,9.889494896E0,9.891721402E0
1.400305677E0,1.929575205E-1,8.252506703E-2,9.882308006E0,9.884536131E0
1.405342760E0,1.809800267E-1,1.112710759E-1,9.884703636E0,9.886986447E0
1.410379791E0,1.857710183E-1,6.575655192E-2,9.915844917E0,9.917802943E0
1.415416823E0,1.977485269E-1,7.773404568E-2,9.923031807E0,9.925306409E0
1.420453854E0,2.169125229E-1,5.857007578E-2,9.894286156E0,9.896836870E0
1.425499166E0,1.546295285E-1,5.857007578E-2,9.920636177E0,9.922014055E0
1.430536198E0,2.049350291E-1,8.012955636E-2,9.884703636E0,9.887152527E0
1.435573281E0,2.097260207E-1,1.136665866E-1,9.908658981E0,9.911530049E0
1.440610312E0,2.193080187E-1,8.012955636E-2,9.884703636E0,9.887460884E0
1.445647343E0,2.121215165E-1,4.419707134E-2,9.860748291E0,9.863128600E0
1.450684427E0,1.761890203E-1,8.492057770E-2,9.913449287E0,9.915378503E0
1.455720364E0,2.097260207E-1,6.575655192E-2,9.899076462E0,9.901516234E0
1.460757395E0,2.360765189E-1,2.742855810E-2,9.923031807E0,9.925877527E0
1.465794427E0,2.025395185E-1,7.533853501E-2,9.889494896E0,9.891855612E0
1.470831510E0,2.001440227E-1,5.857007578E-2,9.884703636E0,9.886903158E0
1.475868541E0,2.073305249E-1,5.857007578E-2,9.894286156E0,9.896631494E0
1.480905625E0,2.217035294E-1,7.054757327E-2,9.896680832E0,9.899415180E0
1.485896614E0,2.097260207E-1,1.016890332E-1,9.899076462E0,9.901820058E0
1.490933698E0,2.264945209E-1,6.815206259E-2,9.903867722E0,9.906691694E0
1.495970729E0,2.264945209E-1,7.773404568E-2,9.889494896E0,9.892393626E0
1.501007760E0,1.953530163E-1,9.450256079E-2,9.939800262E0,9.942168918E0
1.506044791E0,2.169125229E-1,1.160620376E-1,9.913449287E0,9.916501309E0
1.511081875E0,2.001440227E-1,1.112710759E-1,9.906263351E0,9.908909752E0
1.516175885E0,1.881665289E-1,1.016890332E-1,9.875122070E0,9.877438089E0
1.521212968E0,1.713980287E-1,1.136665866E-1,9.887099266E0,9.889238053E0
1.526250052E0,1.977485269E-1,9.210705012E-2,9.894286156E0,9.896690695E0
1.531287083E0,2.025395185E-1,7.054757327E-2,9.879912376E0,9.882240018E0
1.536324114E0,1.881665289E-1,1.040845439E-1,9.872726440E0,9.875067980E0
1.541361198E0,2.217035294E-1,9.210705012E-2,9.908658981E0,9.911566928E0
1.546349062E0,1.977485269E-1,6.096558645E-2,9.920636177E0,9.922794135E0
1.551386145E0,1.881665289E-1,5.377905443E-2,9.899076462E0,9.901010738E0
1.556423177E0,2.001440227E-1,8.731608838E-2,9.851166725E0,9.853586534E0
1.561460208E0,2.360765189E-1,7.533853501E-2,9.882308006E0,9.885414485E0
1.566497239E0,2.217035294E-1,1.016890332E-1,9.896680832E0,9.899686086E0
1.571534323E0,2.121215165E-1,8.252506703E-2,9.877516747E0,9.880138815E0
1.576591354E0,2.121215165E-1,7.773404568E-2,9.906263351E0,9.908839070E0
1.581628385E0,2.288900167E-1,8.012955636E-2,9.939800262E0,9.942758201E0
1.586665416E0,2.504495382E-1,6.575655192E-2,9.894286156E0,9.897673839E0
1.591702448E0,2.217035294E-1,5.857007578E-2,9.896680832E0,9.899337069E0
1.596739531E0,2.001440227E-1,4.898803309E-2,9.911054611E0,9.913196304E0
1.601776562E0,2.073305249E-1,5.377905443E-2,9.903867722E0,9.906183623E0
